,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
3963,5289,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-10-18 14:28:49.0,2006-10-18 14:28:58.0,2006-10-18 14:28:58.0,2006-10-18 14:28:58.0,9.0,9.0,,1,0,0,1,Calculate unit rate,1
3974,5300,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-10-18 14:29:27.0,2006-10-18 14:29:32.0,2006-10-18 14:30:29.0,2006-10-18 14:30:29.0,35.0,,35.0,0,4,1,1,Calculate unit rate,2
3986,5312,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-071,1,SimplifiedNumeratorQuantity1,2006-10-23 13:59:48.0,2006-10-23 13:59:55.0,2006-10-23 14:01:14.0,2006-10-23 14:01:14.0,63.0,,63.0,0,3,1,1,Calculate unit rate,3
3992,5318,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-071,1,SimplifiedNumeratorQuantity2,2006-10-23 14:01:32.0,2006-10-23 14:02:38.0,2006-10-23 14:03:15.0,2006-10-23 14:03:15.0,103.0,,103.0,0,1,0,1,Calculate unit rate,4
4006,5332,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-099,1,SimplifiedNumeratorQuantity1,2006-10-23 14:04:16.0,2006-10-23 14:04:28.0,2006-10-23 14:04:39.0,2006-10-23 14:04:39.0,23.0,,23.0,0,1,0,1,Calculate unit rate,5
4009,5335,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-099,1,SimplifiedNumeratorQuantity2,2006-10-23 14:04:39.0,2006-10-23 14:04:45.0,2006-10-23 14:05:03.0,2006-10-23 14:05:03.0,14.0,,14.0,0,1,0,1,Calculate unit rate,6
4025,5351,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-177,1,SimplifiedNumeratorQuantity1,2006-10-23 14:07:42.0,2006-10-23 14:08:02.0,2006-10-23 14:08:02.0,2006-10-23 14:08:02.0,20.0,20.0,,1,0,0,1,Calculate unit rate,7
4026,5352,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-177,1,SimplifiedNumeratorQuantity2,2006-10-23 14:08:02.0,2006-10-23 14:08:08.0,2006-10-23 14:08:08.0,2006-10-23 14:08:08.0,6.0,6.0,,1,0,0,1,Calculate unit rate,8
4040,5366,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-078,1,SimplifiedNumeratorQuantity1,2006-10-23 14:08:59.0,2006-10-23 14:09:06.0,2006-10-23 14:09:06.0,2006-10-23 14:09:06.0,7.0,7.0,,1,0,0,1,Calculate unit rate,9
4043,5369,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-078,1,SimplifiedNumeratorQuantity2,2006-10-23 14:09:11.0,2006-10-23 14:09:16.0,2006-10-23 14:09:16.0,2006-10-23 14:09:16.0,5.0,5.0,,1,0,0,1,Calculate unit rate,10
4055,5381,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,2006-10-23 14:10:38.0,2006-10-23 14:10:41.0,2006-10-23 14:10:41.0,2006-10-23 14:10:41.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,1
4068,5394,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-192,1,EquationAnswer,2006-10-23 14:14:48.0,2006-10-23 14:15:03.0,2006-10-23 14:15:35.0,2006-10-23 14:15:35.0,47.0,,47.0,0,3,0,1,Calculate total in proportion with fractions,1
4080,5406,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-108,1,EquationAnswer,2006-10-23 14:17:33.0,2006-10-23 14:17:37.0,2006-10-23 14:17:37.0,2006-10-23 14:17:37.0,4.0,4.0,,1,0,0,1,Calculate total in proportion with fractions,2
4093,5419,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-048,1,EquationAnswer,2006-11-08 13:20:24.0,2006-11-08 13:20:31.0,2006-11-08 13:22:20.0,2006-11-08 13:22:20.0,62.0,,62.0,0,6,2,1,Calculate part in proportion with fractions,2
4106,5432,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-124,1,EquationAnswer,2006-11-08 13:23:48.0,2006-11-08 13:23:49.0,2006-11-08 13:24:01.0,2006-11-08 13:24:01.0,13.0,,13.0,0,1,0,1,Calculate part in proportion with fractions,3
4118,5444,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-077,1,EquationAnswer,2006-11-08 13:26:11.0,2006-11-08 13:26:12.0,2006-11-08 13:26:12.0,2006-11-08 13:26:12.0,1.0,1.0,,1,0,0,1,Calculate part in proportion with fractions,4
4132,5458,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-136,1,EquationAnswer,2006-11-08 13:28:14.0,2006-11-08 13:28:15.0,2006-11-08 13:28:48.0,2006-11-08 13:28:48.0,34.0,,34.0,0,1,0,1,Calculate total in proportion with fractions,3
4145,5471,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-074,1,EquationAnswer,2006-11-08 13:30:59.0,2006-11-08 13:31:01.0,2006-11-08 13:31:06.0,2006-11-08 13:31:06.0,7.0,,7.0,0,1,0,1,Calculate total in proportion with fractions,4
4157,5483,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-081,1,EquationAnswer,2006-11-08 13:32:58.0,2006-11-08 13:33:01.0,2006-11-08 13:33:01.0,2006-11-08 13:33:01.0,3.0,3.0,,1,0,0,1,Calculate total in proportion with fractions,5
4169,5495,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-056,1,EquationAnswer,2006-11-08 13:34:20.0,2006-11-08 13:34:27.0,2006-11-08 13:34:27.0,2006-11-08 13:34:27.0,7.0,7.0,,1,0,0,1,Calculate part in proportion with fractions,5
4181,5507,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-138,1,EquationAnswer,2006-11-08 13:35:24.0,2006-11-08 13:35:25.0,2006-11-08 13:35:29.0,2006-11-08 13:35:29.0,5.0,,5.0,0,1,0,1,Calculate total in proportion with fractions,6
4193,5519,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-175,1,EquationAnswer,2006-11-08 13:36:35.0,2006-11-08 13:36:36.0,2006-11-08 13:36:49.0,2006-11-08 13:36:49.0,13.0,,13.0,0,1,0,1,Calculate total in proportion with fractions,7
4205,5531,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-121,1,EquationAnswer,2006-11-08 13:37:44.0,2006-11-08 13:37:47.0,2006-11-08 13:37:47.0,2006-11-08 13:37:47.0,3.0,3.0,,1,0,0,1,Calculate total in proportion with fractions,8
4218,5544,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-123,1,EquationAnswer,2006-11-08 13:39:13.0,2006-11-08 13:39:17.0,2006-11-08 13:39:17.0,2006-11-08 13:39:17.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,6
4230,5556,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-090,1,EquationAnswer,2006-11-08 13:40:02.0,2006-11-08 13:40:05.0,2006-11-08 13:40:05.0,2006-11-08 13:40:05.0,3.0,3.0,,1,0,0,1,Calculate total in proportion with fractions,9
4242,5568,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-179,1,EquationAnswer,2006-11-08 13:40:54.0,2006-11-08 13:40:55.0,2006-11-08 13:41:08.0,2006-11-08 13:41:08.0,12.0,,12.0,0,2,0,1,Calculate part in proportion with fractions,7
5977,7765,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-299,1,RationalNumberline1,2007-02-09 13:51:12.0,2007-02-09 13:51:26.0,2007-02-09 13:51:26.0,2007-02-09 13:51:26.0,14.0,14.0,,1,0,0,1,Plot whole number,1
5985,7773,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-155,1,RationalNumberline1,2007-02-09 13:53:37.0,2007-02-09 13:53:50.0,2007-02-09 13:54:07.0,2007-02-09 13:54:07.0,25.0,,25.0,0,3,1,1,Plot terminating proper fraction,1
5986,7774,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-193,1,RationalNumberline1,2007-02-09 13:54:10.0,2007-02-09 13:54:29.0,2007-02-09 13:54:29.0,2007-02-09 13:54:29.0,19.0,19.0,,1,0,0,1,Plot imperfect radical,1
5987,7775,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-248,1,RationalNumberline1,2007-02-09 13:54:33.0,2007-02-09 13:54:44.0,2007-02-09 13:54:44.0,2007-02-09 13:54:44.0,11.0,11.0,,1,0,0,1,Plot terminating proper fraction,2
5988,7776,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-117,1,RationalNumberline1,2007-02-09 13:54:46.0,2007-02-09 13:54:57.0,2007-02-09 13:54:57.0,2007-02-09 13:54:57.0,11.0,11.0,,1,0,0,1,Plot non-terminating improper fraction,1
5994,7782,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-156,1,RationalNumberline1,2007-02-09 13:56:33.0,2007-02-09 13:56:47.0,2007-02-09 13:56:47.0,2007-02-09 13:56:47.0,14.0,14.0,,1,0,0,1,Plot pi,1
5997,7785,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-180,1,RationalNumberline1,2007-02-09 13:57:13.0,2007-02-09 13:57:28.0,2007-02-09 13:57:32.0,2007-02-09 13:57:32.0,19.0,,19.0,0,2,0,1,Plot terminating proper fraction,3
6000,7788,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-132,1,RationalNumberline1,2007-02-09 13:58:11.0,2007-02-09 13:58:21.0,2007-02-09 13:58:24.0,2007-02-09 13:58:24.0,13.0,,13.0,0,2,0,1,Plot decimal - thousandths,1
6002,7790,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-245,1,RationalNumberline1,2007-02-09 13:58:46.0,2007-02-09 13:59:07.0,2007-02-09 13:59:07.0,2007-02-09 13:59:07.0,21.0,21.0,,1,0,0,1,Plot terminating proper fraction,4
6003,7791,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-271,1,RationalNumberline1,2007-02-09 13:59:10.0,2007-02-09 13:59:21.0,2007-02-09 13:59:21.0,2007-02-09 13:59:21.0,11.0,11.0,,1,0,0,1,Plot whole number,2
6006,7794,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-225,1,RationalNumberline1,2007-02-09 14:00:00.0,2007-02-09 14:00:09.0,2007-02-09 14:00:22.0,2007-02-09 14:00:22.0,22.0,,22.0,0,7,2,1,Plot decimal - thousandths,2
6007,7795,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-283,1,RationalNumberline1,2007-02-09 14:00:25.0,2007-02-09 14:00:41.0,2007-02-09 14:00:47.0,2007-02-09 14:00:47.0,22.0,,22.0,0,1,0,1,Plot non-terminating improper fraction,2
6008,7796,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-041,1,RationalNumberline1,2007-02-09 14:00:50.0,2007-02-09 14:01:11.0,2007-02-09 14:01:11.0,2007-02-09 14:01:11.0,21.0,21.0,,1,0,0,1,Plot imperfect radical,2
6009,7797,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-123,1,RationalNumberline1,2007-02-09 14:01:14.0,2007-02-09 14:01:39.0,2007-02-09 14:01:39.0,2007-02-09 14:01:39.0,25.0,25.0,,1,0,0,1,Plot non-terminating improper fraction,3
6027,7815,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-241,1,RationalNumberline1,2007-02-09 14:06:33.0,2007-02-09 14:06:46.0,2007-02-09 14:06:53.0,2007-02-09 14:06:53.0,20.0,,20.0,0,4,1,1,Plot decimal - thousandths,3
6028,7816,3cjD21W,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-134,1,RationalNumberline1,2007-02-09 14:06:55.0,2007-02-09 14:07:14.0,2007-02-09 14:07:14.0,2007-02-09 14:07:14.0,19.0,19.0,,1,0,0,1,Plot terminating proper fraction,5
8053,10617,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",SY=2X+5&Y=-2X+5,1,Intersection 1 X,2007-04-25 13:35:23.0,2007-04-25 13:35:29.0,2007-04-25 13:35:29.0,2007-04-25 13:35:29.0,6.0,6.0,,1,0,0,1,"Finding the intersection, SIF",1
8078,10642,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",M4X-2Y=8&Y=-2X+5,1,Intersection 1 X,2007-04-25 13:37:03.0,2007-04-25 13:37:13.0,2007-04-25 13:40:54.0,2007-04-25 13:40:54.0,129.0,,129.0,0,9,3,1,"Finding the intersection, Mixed",1
8106,10670,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",M4X+5Y=48&Y=3X+2,1,Intersection 1 X,2007-04-25 13:47:01.0,2007-04-25 13:47:11.0,2007-04-25 13:47:11.0,2007-04-25 13:47:11.0,10.0,10.0,,1,0,0,1,"Finding the intersection, Mixed",2
8143,10707,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G5X+3Y=4.7&2X+6Y=6.2,1,Intersection 1 X,2007-04-25 14:05:15.0,2007-04-25 14:05:34.0,2007-04-25 14:05:40.0,2007-04-25 14:05:40.0,25.0,,25.0,0,2,0,1,"Finding the intersection, GLF",1
8186,10750,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G8X-7Y=51&10X+Y=-15,1,Intersection 1 X,2007-04-25 14:13:07.0,2007-04-25 14:13:14.0,,2007-04-25 14:28:13.0,469.0,,469.0,0,16,7,0,"Finding the intersection, GLF",2
8189,10753,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G8X-7Y=51&10X+Y=-15,2,Intersection 1 X,2007-05-23 13:23:47.0,2007-05-23 13:23:53.0,2007-05-23 13:29:47.0,2007-05-23 13:29:47.0,330.0,,330.0,0,4,0,1,"Finding the intersection, GLF",3
8208,10772,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G-4X+5Y=-19&-3X-7Y=18,1,Intersection 1 X,2007-05-23 13:34:55.0,2007-05-23 13:34:58.0,2007-05-23 13:34:58.0,2007-05-23 13:34:58.0,3.0,3.0,,1,0,0,1,"Finding the intersection, GLF",4
8232,10796,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",SY=-X&Y=7,1,Intersection 1 X,2007-05-23 13:38:52.0,2007-05-23 13:38:59.0,2007-05-23 13:38:59.0,2007-05-23 13:38:59.0,7.0,7.0,,1,0,0,1,"Finding the intersection, Mixed",3
8252,10816,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G3X-5Y=27&4X+3Y=7,1,Intersection 1 X,2007-05-23 13:41:24.0,2007-05-23 13:41:29.0,2007-05-23 13:41:29.0,2007-05-23 13:41:29.0,5.0,5.0,,1,0,0,1,"Finding the intersection, GLF",5
8268,10832,3cjD21W,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",SY=2X&Y=-3X+5,1,Intersection 1 X,2007-05-23 13:43:32.0,2007-05-23 13:43:38.0,2007-05-23 13:43:38.0,2007-05-23 13:43:38.0,6.0,6.0,,1,0,0,1,"Finding the intersection, SIF",2
9437,12464,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2007-02-28 14:00:16.0,2007-02-28 14:00:28.0,2007-02-28 14:00:28.0,2007-02-28 14:00:28.0,12.0,12.0,,1,0,0,1,Calculate unit rate,1
9444,12471,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2007-02-28 14:01:08.0,2007-02-28 14:01:17.0,2007-02-28 14:01:58.0,2007-02-28 14:01:58.0,48.0,,48.0,0,3,1,1,Calculate unit rate,2
9455,12482,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-127,1,SimplifiedNumeratorQuantity1,2007-02-28 14:02:49.0,2007-02-28 14:03:00.0,2007-02-28 14:03:40.0,2007-02-28 14:03:40.0,32.0,,32.0,0,2,0,1,Calculate unit rate,3
9461,12488,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-127,1,SimplifiedNumeratorQuantity2,2007-02-28 14:04:06.0,2007-02-28 14:04:09.0,2007-02-28 14:04:49.0,2007-02-28 14:04:49.0,34.0,,34.0,0,3,0,1,Calculate unit rate,4
9473,12500,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-140,1,SimplifiedNumeratorQuantity1,2007-02-28 14:05:40.0,2007-02-28 14:05:46.0,2007-02-28 14:05:46.0,2007-02-28 14:05:46.0,6.0,6.0,,1,0,0,1,Calculate unit rate,5
9476,12503,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-140,1,SimplifiedNumeratorQuantity2,2007-02-28 14:05:50.0,2007-02-28 14:05:53.0,2007-02-28 14:05:53.0,2007-02-28 14:05:53.0,3.0,3.0,,1,0,0,1,Calculate unit rate,6
9495,12522,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-061,1,SimplifiedNumeratorQuantity1,2007-02-28 14:07:31.0,2007-02-28 14:07:50.0,2007-02-28 14:09:00.0,2007-02-28 14:09:00.0,33.0,,33.0,0,2,0,1,Calculate unit rate,7
9496,12523,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-061,1,SimplifiedNumeratorQuantity2,2007-02-28 14:07:53.0,2007-02-28 14:07:57.0,2007-02-28 14:09:08.0,2007-02-28 14:09:08.0,29.0,,29.0,0,4,1,1,Calculate unit rate,8
9512,12539,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-106,1,SimplifiedNumeratorQuantity2,2007-02-28 14:10:45.0,2007-02-28 14:10:51.0,2007-02-28 14:11:01.0,2007-02-28 14:11:01.0,16.0,,16.0,0,2,0,1,Calculate unit rate,9
9514,12541,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-106,1,SimplifiedNumeratorQuantity1,2007-02-28 14:11:01.0,2007-02-28 14:11:05.0,2007-02-28 14:11:59.0,2007-02-28 14:11:59.0,57.0,,57.0,0,3,1,1,Calculate unit rate,10
9530,12557,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-022,1,SimplifiedNumeratorQuantity1,2007-02-28 14:12:56.0,2007-02-28 14:13:02.0,2007-02-28 14:13:22.0,2007-02-28 14:13:22.0,21.0,,21.0,0,1,1,1,Calculate unit rate,11
9532,12559,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-022,1,SimplifiedNumeratorQuantity2,2007-02-28 14:13:13.0,2007-02-28 14:13:16.0,2007-02-28 14:13:28.0,2007-02-28 14:13:28.0,7.0,,7.0,0,1,1,1,Calculate unit rate,12
9548,12575,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-180,1,SimplifiedNumeratorQuantity1,2007-02-28 14:14:28.0,2007-02-28 14:14:35.0,2007-02-28 14:14:44.0,2007-02-28 14:14:44.0,14.0,,14.0,0,1,1,1,Calculate unit rate,13
9550,12577,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-180,1,SimplifiedNumeratorQuantity2,2007-02-28 14:14:44.0,2007-02-28 14:14:46.0,2007-02-28 14:14:51.0,2007-02-28 14:14:51.0,5.0,,5.0,0,0,1,1,Calculate unit rate,14
9566,12593,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-149,1,SimplifiedNumeratorQuantity1,2007-02-28 14:15:54.0,2007-02-28 14:16:03.0,2007-02-28 14:16:03.0,2007-02-28 14:16:03.0,9.0,9.0,,1,0,0,1,Calculate unit rate,15
9567,12594,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-149,1,SimplifiedNumeratorQuantity2,2007-02-28 14:16:03.0,2007-02-28 14:16:14.0,2007-02-28 14:16:14.0,2007-02-28 14:16:14.0,11.0,11.0,,1,0,0,1,Calculate unit rate,16
9583,12610,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-003,1,SimplifiedNumeratorQuantity1,2007-02-28 14:17:18.0,2007-02-28 14:17:29.0,2007-02-28 14:17:29.0,2007-02-28 14:17:29.0,11.0,11.0,,1,0,0,1,Calculate unit rate,17
9584,12611,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-003,1,SimplifiedNumeratorQuantity2,2007-02-28 14:17:29.0,2007-02-28 14:17:35.0,2007-02-28 14:18:10.0,2007-02-28 14:18:10.0,41.0,,41.0,0,1,0,1,Calculate unit rate,18
9596,12623,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-156,1,SimplifiedNumeratorQuantity1,2007-02-28 14:18:58.0,2007-02-28 14:19:12.0,2007-02-28 14:19:20.0,2007-02-28 14:19:20.0,21.0,,21.0,0,1,1,1,Calculate unit rate,19
9602,12629,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-156,1,SimplifiedNumeratorQuantity2,2007-02-28 14:19:50.0,2007-02-28 14:20:00.0,2007-02-28 14:20:18.0,2007-02-28 14:20:18.0,28.0,,28.0,0,1,0,1,Calculate unit rate,20
9618,12645,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-071,1,SimplifiedNumeratorQuantity1,2007-02-28 14:21:06.0,2007-02-28 14:21:14.0,2007-02-28 14:22:27.0,2007-02-28 14:22:27.0,20.0,,20.0,0,1,1,1,Calculate unit rate,21
